grid_lat,grid_lon,hour,day_of_week,crash_count,avg_severity,total_injured,total_killed
10176,-18503,12,4,13,0.15384615384615385,2.0,0.0
10176,-18503,12,5,7,0.14285714285714285,1.0,0.0
10176,-18503,12,6,2,0.0,0.0,0.0
10176,-18503,13,0,14,0.07142857142857142,1.0,0.0
10176,-18503,13,1,16,0.1875,3.0,0.0
10176,-18503,13,2,16,0.3125,5.0,0.0
10176,-18503,13,3,15,0.13333333333333333,2.0,0.0
10176,-18503,13,4,14,0.0,0.0,0.0
10176,-18503,13,5,6,0.0,0.0,0.0
10176,-18503,13,6,7,0.14285714285714285,1.0,0.0
10176,-18503,14,0,9,0.1111111111111111,1.0,0.0
10176,-18503,14,1,15,0.2,3.0,0.0
10176,-18503,14,2,18,0.0,0.0,0.0
10176,-18503,14,3,15,0.13333333333333333,2.0,0.0
10176,-18503,14,4,11,0.18181818181818182,2.0,0.0
10176,-18503,14,5,5,0.2,1.0,0.0
10176,-18503,14,6,7,0.0,0.0,0.0
10176,-18503,15,0,13,0.07692307692307693,1.0,0.0
10176,-18503,15,1,13,0.15384615384615385,2.0,0.0
10176,-18503,15,2,21,0.09523809523809523,2.0,0.0
10176,-18503,15,3,16,0.125,2.0,0.0
10176,-18503,15,4,11,0.09090909090909091,1.0,0.0
10176,-18503,15,5,10,0.3,3.0,0.0
10176,-18503,15,6,8,0.125,1.0,0.0
10176,-18503,16,0,17,0.058823529411764705,1.0,0.0
10176,-18503,16,1,15,0.06666666666666667,1.0,0.0
10176,-18503,16,2,19,0.10526315789473684,2.0,0.0
10176,-18503,16,3,8,0.0,0.0,0.0
10176,-18503,16,4,17,0.23529411764705882,4.0,0.0
10176,-18503,16,5,10,0.1,1.0,0.0
